CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA
00.000.000/0001-91;2013-12-31;4;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2012-01-01;2012-12-31;3.01;Receitas da Intermediação Financeira;94180849.00
00.000.000/0001-91;2013-12-31;4;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2013-01-01;2013-12-31;3.01;Receitas da Intermediação Financeira;104582211.00
00.000.000/0001-91;2013-12-31;4;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2012-01-01;2012-12-31;3.01.01;Receita de Juros;94180849.00
00.000.000/0001-91;2013-12-31;4;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2013-01-01;2013-12-31;3.01.01;Receita de Juros;104582211.00
00.000.000/0001-91;2013-12-31;4;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2012-01-01;2012-12-31;3.02;Despesas da Intermediação Financeira;-63992046.00
00.000.000/0001-91;2013-12-31;4;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2013-01-01;2013-12-31;3.02;Despesas da Intermediação Financeira;-74376888.00
00.000.000/0001-91;2013-12-31;4;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2012-01-01;2012-12-31;3.02.01;Despesas de Juros;-53920693.00
00.000.000/0001-91;2013-12-31;4;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2013-01-01;2013-12-31;3.02.01;Despesas de Juros;-62848122.00
00.000.000/0001-91;2013-12-31;4;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2012-01-01;2012-12-31;3.02.02;Despesa com Provisão para Perdas em Empréstimos;-10062184.00
00.000.000/0001-91;2013-12-31;4;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2013-01-01;2013-12-31;3.02.02;Despesa com Provisão para Perdas em Empréstimos;-11514175.00
00.000.000/0001-91;2013-12-31;4;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2012-01-01;2012-12-31;3.02.03;Despesa com Provisão para Perdas em Empréstimos a instituições financeiras;-9169.00
00.000.000/0001-91;2013-12-31;4;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2013-01-01;2013-12-31;3.02.03;Despesa com Provisão para Perdas em Empréstimos a instituições financeiras;-14591.00
00.000.000/0001-91;2013-12-31;4;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2012-01-01;2012-12-31;3.03;Resultado Bruto Intermediação Financeira;30188803.00
00.000.000/0001-91;2013-12-31;4;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2013-01-01;2013-12-31;3.03;Resultado Bruto Intermediação Financeira;30205323.00
00.000.000/0001-91;2013-12-31;4;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2012-01-01;2012-12-31;3.04;Outras Despesas/Receitas Operacionais;-15180056.00
00.000.000/0001-91;2013-12-31;4;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2013-01-01;2013-12-31;3.04;Outras Despesas/Receitas Operacionais;-17346329.00
00.000.000/0001-91;2013-12-31;4;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2012-01-01;2012-12-31;3.04.01;Receitas de Prestação de Serviços;0.00
00.000.000/0001-91;2013-12-31;4;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2013-01-01;2013-12-31;3.04.01;Receitas de Prestação de Serviços;0.00
