CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA
00.001.180/0001-26;2019-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MILHAR;PENÚLTIMO;2018-01-01;2018-12-31;6.01;Caixa Líquido Atividades Operacionais;4356871.00
00.001.180/0001-26;2019-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MILHAR;ÚLTIMO;2019-01-01;2019-12-31;6.01;Caixa Líquido Atividades Operacionais;-86329.00
00.001.180/0001-26;2019-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MILHAR;PENÚLTIMO;2018-01-01;2018-12-31;6.01.01;Caixa Gerado nas Operações;4424394.00
00.001.180/0001-26;2019-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MILHAR;ÚLTIMO;2019-01-01;2019-12-31;6.01.01;Caixa Gerado nas Operações;4824216.00
00.001.180/0001-26;2019-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MILHAR;PENÚLTIMO;2018-01-01;2018-12-31;6.01.02;Variações nos Ativos e Passivos;-2023292.00
00.001.180/0001-26;2019-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MILHAR;ÚLTIMO;2019-01-01;2019-12-31;6.01.02;Variações nos Ativos e Passivos;-4456386.00
00.001.180/0001-26;2019-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MILHAR;PENÚLTIMO;2018-01-01;2018-12-31;6.01.03;Outros;1955769.00
00.001.180/0001-26;2019-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MILHAR;ÚLTIMO;2019-01-01;2019-12-31;6.01.03;Outros;-454159.00
00.001.180/0001-26;2019-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MILHAR;PENÚLTIMO;2018-01-01;2018-12-31;6.02;Caixa Líquido Atividades de Investimento;421308.00
00.001.180/0001-26;2019-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MILHAR;ÚLTIMO;2019-01-01;2019-12-31;6.02;Caixa Líquido Atividades de Investimento;3270029.00
00.001.180/0001-26;2019-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MILHAR;PENÚLTIMO;2018-01-01;2018-12-31;6.03;Caixa Líquido Atividades de Financiamento;-5014754.00
00.001.180/0001-26;2019-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MILHAR;ÚLTIMO;2019-01-01;2019-12-31;6.03;Caixa Líquido Atividades de Financiamento;-3390681.00
00.001.180/0001-26;2019-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MILHAR;PENÚLTIMO;2018-01-01;2018-12-31;6.04;Variação Cambial s/ Caixa e Equivalentes;0.00
00.001.180/0001-26;2019-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MILHAR;ÚLTIMO;2019-01-01;2019-12-31;6.04;Variação Cambial s/ Caixa e Equivalentes;0.00
00.001.180/0001-26;2019-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MILHAR;PENÚLTIMO;2018-01-01;2018-12-31;6.05;Aumento (Redução) de Caixa e Equivalentes;-236575.00
00.001.180/0001-26;2019-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MILHAR;ÚLTIMO;2019-01-01;2019-12-31;6.05;Aumento (Redução) de Caixa e Equivalentes;-206981.00
00.001.180/0001-26;2019-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MILHAR;PENÚLTIMO;2018-01-01;2018-12-31;6.05.01;Saldo Inicial de Caixa e Equivalentes;792252.00
00.001.180/0001-26;2019-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MILHAR;ÚLTIMO;2019-01-01;2019-12-31;6.05.01;Saldo Inicial de Caixa e Equivalentes;583352.00
00.001.180/0001-26;2019-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MILHAR;PENÚLTIMO;2018-01-01;2018-12-31;6.05.02;Saldo Final de Caixa e Equivalentes;555677.00
00.001.180/0001-26;2019-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MILHAR;ÚLTIMO;2019-01-01;2019-12-31;6.05.02;Saldo Final de Caixa e Equivalentes;376371.00
00.354.053/0001-00;2019-12-31;1;KOSMOS COMÉRCIO DE VESTUÁRIO S/A - EM RECUPERAÇÃO JUDICIAL;15083;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MILHAR;PENÚLTIMO;2018-01-01;2018-12-31;6.01;Caixa Líquido Atividades Operacionais;1877.00
00.354.053/0001-00;2019-12-31;1;KOSMOS COMÉRCIO DE VESTUÁRIO S/A - EM RECUPERAÇÃO JUDICIAL;15083;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MILHAR;ÚLTIMO;2019-01-01;2019-12-31;6.01;Caixa Líquido Atividades Operacionais;1247.00
